Username,Short,Like,Time,Views,ratio
bennnnnnnnn9,CXyE567g2_W,107,2021-12-22 21:53:34,253,42.29249011857708
bennnnnnnnn9,CXvd1xEA4yc,52,2021-12-21 21:33:53,264,19.696969696969695
bennnnnnnnn9,CXs5VlKADW4,272,2021-12-20 21:39:33,1586,17.150063051702396
bennnnnnnnn9,CXpSvOjAXuw,90,2021-12-19 12:08:52,306,29.411764705882355
bennnnnnnnn9,CXkx1dZAo4K,27,2021-12-17 17:58:38,88,30.681818181818183
bennnnnnnnn9,CXilbokADhN,270,2021-12-16 21:32:32,1264,21.360759493670887
bennnnnnnnn9,CXVpDnqAhVa,89,2021-12-11 20:51:58,321,27.725856697819314
bennnnnnnnn9,CXUvVQXgxeZ,140,2021-12-11 12:30:37,593,23.608768971332207
bennnnnnnnn9,CXUWIj-hf-D,95,2021-12-11 08:48:32,400,23.75
bennnnnnnnn9,CXQW3ITAL85,339,2021-12-09 19:37:44,2060,16.45631067961165
bennnnnnnnn9,CXLcQPAARNU,85,2021-12-07 21:47:18,337,25.222551928783382
bennnnnnnnn9,CXI4WrWg2Ue,118,2021-12-06 21:58:50,740,15.945945945945947
bennnnnnnnn9,CXNj_AwgRmc,852,2021-12-08 17:52:10,6172,13.804277381723914
