Short,Like,Time,Views,ratio
CXyE567g2_W,63,2021-12-22 21:53:34,122.0,51.63934426229508
CXvd1xEA4yc,40,2021-12-21 21:33:53,152.0,26.31578947368421
CXs5VlKADW4,205,2021-12-20 21:39:33,1172.0,17.49146757679181
CXpSvOjAXuw,72,2021-12-19 12:08:52,217.0,33.17972350230415
CXkx1dZAo4K,26,2021-12-17 17:58:38,82.0,31.70731707317073
CXilbokADhN,224,2021-12-16 21:32:32,1033.0,21.684414327202322
CXVpDnqAhVa,86,2021-12-11 20:51:58,309.0,27.831715210355988
CXUvVQXgxeZ,134,2021-12-11 12:30:37,549.0,24.408014571949
CXUWIj-hf-D,90,2021-12-11 08:48:32,370.0,24.324324324324326
CXQW3ITAL85,319,2021-12-09 19:37:44,1895.0,16.83377308707124
CXLcQPAARNU,85,2021-12-07 21:47:18,335.0,25.37313432835821
CXI4WrWg2Ue,117,2021-12-06 21:58:50,740.0,15.81081081081081
CXNj_AwgRmc,843,2021-12-08 17:52:10,6134.0,13.743071405282034
CXF-s-JPHTP,76,2021-12-05 18:51:38,,
CXFSBFJgjSU,192,2021-12-05 12:31:12,2059.0,9.324915007285089
CW7wiM0Av0U,37,2021-12-01 19:37:02,185.0,20.0
CW6nLdAhJih,41,2021-12-01 08:55:52,74.0,55.405405405405396
CW37idoh2EB,169,2021-11-30 07:59:13,727.0,23.24621733149931
