Short,Like,Time,Views,ratio
CXvd1xEA4yc,28,2021-12-21 21:33:53,77.0,36.36363636363637
CXs5VlKADW4,155,2021-12-20 21:39:33,891.0,17.396184062850732
CXpSvOjAXuw,62,2021-12-19 12:08:52,190.0,32.631578947368425
CXkx1dZAo4K,25,2021-12-17 17:58:38,78.0,32.05128205128205
CXilbokADhN,195,2021-12-16 21:32:32,918.0,21.241830065359476
CXVpDnqAhVa,84,2021-12-11 20:51:58,300.0,28.000000000000004
CXUvVQXgxeZ,130,2021-12-11 12:30:37,505.0,25.742574257425744
CXUWIj-hf-D,85,2021-12-11 08:48:32,350.0,24.285714285714285
CXQW3ITAL85,286,2021-12-09 19:37:44,1690.0,16.923076923076923
CXLcQPAARNU,85,2021-12-07 21:47:18,335.0,25.37313432835821
CXI4WrWg2Ue,116,2021-12-06 21:58:50,739.0,15.696887686062247
CXF-s-JPHTP,76,2021-12-05 18:51:38,,
CXNj_AwgRmc,839,2021-12-08 17:52:10,6109.0,13.73383532493043
CXFSBFJgjSU,192,2021-12-05 12:31:12,2059.0,9.324915007285089
CW7wiM0Av0U,37,2021-12-01 19:37:02,185.0,20.0
CW6nLdAhJih,41,2021-12-01 08:55:52,74.0,55.405405405405396
CW37idoh2EB,169,2021-11-30 07:59:13,727.0,23.24621733149931
